Primary NB diagnostics
model formula: captcha_post_completions ~ like_c + mentism_c + like_x_mentism
rows used: 97
AIC: 703.024135
BIC: 715.897690
log likelihood: -346.512068
alpha estimate: 0.548310
mean observed count: 14.567010
mean predicted count: 14.223203
Pearson residual mean: 0.002186
Pearson residual SD: 1.061715
quadrant split: 0 on mean-centered like_c and mentism_c

Coefficient table
                   Coef.  Std.Err.          z          P>|z|    [0.025    0.975]
Intercept       2.703227  0.086382  31.293952  5.639762e-215  2.533922  2.872532
like_c          0.180926  0.092264   1.960965   4.988314e-02  0.000092  0.361760
mentism_c       0.015519  0.024739   0.627296   5.304651e-01 -0.032970  0.064007
like_x_mentism -0.073483  0.024515  -2.997457   2.722422e-03 -0.121533 -0.025434
alpha           0.548310  0.087069   6.297425   3.026316e-10  0.377658  0.718962

Top 10 participants by absolute Pearson residual
 participant_id  observed_count  predicted_count  raw_residual  pearson_residual  deviance_residual  liking  mentism  interaction                     quadrant
             51           115.0        27.534896     87.465104          4.154434           2.468669     7.0     -6.0    -5.782230     high_liking__low_mentism
            103            90.0        27.534896     62.465104          2.966979           1.942622     7.0     -6.0    -5.782230     high_liking__low_mentism
             93            25.0         7.319063     17.680937          2.918931           1.917781     4.0     -5.0     5.073440    lower_liking__low_mentism
             56            26.0         8.366042     17.633958          2.579250           1.750873     4.0     -4.0     3.465193    lower_liking__low_mentism
             28            30.0        10.603497     19.396503          2.281906           1.597419     7.0      5.0     9.527049  high_liking__higher_mentism
             75            40.0        14.632991     25.367009          2.207584           1.558090     6.0      5.0     2.681688  high_liking__higher_mentism
             43            43.0        15.871308     27.128692          2.186166           1.546618     5.0      1.0    -1.730683 lower_liking__higher_mentism
              4            67.0        25.246873     41.753127          2.156864           1.530979     7.0     -5.0    -4.390477     high_liking__low_mentism
             53            10.0         3.937556      6.062444          1.718935           1.280330     3.0     -6.0    10.836327    lower_liking__low_mentism
             96            37.0        16.489007     20.510993          1.594040           1.208971     6.0     -4.0    -0.844085     high_liking__low_mentism

Top 10 participants by absolute raw residual
 participant_id  observed_count  predicted_count  raw_residual  pearson_residual  deviance_residual  liking  mentism  interaction                     quadrant
             51           115.0        27.534896     87.465104          4.154434           2.468669     7.0     -6.0    -5.782230     high_liking__low_mentism
            103            90.0        27.534896     62.465104          2.966979           1.942622     7.0     -6.0    -5.782230     high_liking__low_mentism
              4            67.0        25.246873     41.753127          2.156864           1.530979     7.0     -5.0    -4.390477     high_liking__low_mentism
             43            43.0        15.871308     27.128692          2.186166           1.546618     5.0      1.0    -1.730683 lower_liking__higher_mentism
             75            40.0        14.632991     25.367009          2.207584           1.558090     6.0      5.0     2.681688  high_liking__higher_mentism
             96            37.0        16.489007     20.510993          1.594040           1.208971     6.0     -4.0    -0.844085     high_liking__low_mentism
             28            30.0        10.603497     19.396503          2.281906           1.597419     7.0      5.0     9.527049  high_liking__higher_mentism
             93            25.0         7.319063     17.680937          2.918931           1.917781     4.0     -5.0     5.073440    lower_liking__low_mentism
             56            26.0         8.366042     17.633958          2.579250           1.750873     4.0     -4.0     3.465193    lower_liking__low_mentism
             62             0.0        15.636696    -15.636696         -1.278002          -2.870533     6.0      0.0     0.722925  high_liking__higher_mentism
